original address,latitude,longitude
"1108 ROSS CLARK CIRCLE, DOTHAN, AL",31.215884,-85.3630079
"2505 U S HIGHWAY 431 NORTH, BOAZ, AL",34.2215568,-86.1594411
"205 MARENGO STREET, FLORENCE, AL",34.7951082,-87.6850926
"702 N MAIN ST, OPP, AL",31.2890461,-86.2555035
"101 HOSPITAL CIRCLE, LUVERNE, AL",31.6945009,-86.2654242
"201 PINE STREET NORTHWEST, HARTSELLE, AL",34.446233,-86.93656
"8000 ALABAMA HIGHWAY 69, GUNTERSVILLE, AL",34.366053,-86.421267
"50 MEDICAL PARK EAST DRIVE, BIRMINGHAM, AL",33.5961576,-86.6675006
"200 MED CENTER DRIVE, FORT PAYNE, AL",34.4384548,-85.7557435
"33700 HIGHWAY 43, THOMASVILLE, AL",31.9273081,-87.7388557
"1000 FIRST STREET NORTH, ALABASTER, AL",33.256073,-86.810348
"1300 SOUTH MONTGOMERY AVENUE, SHEFFIELD, AL",34.7464886,-87.6989475
"126 HOSPITAL AVE, OZARK, AL",31.4521525,-85.6313971
"400 NORTHWOOD DR, CENTRE, AL",34.162739,-85.6513665
"2105 EAST SOUTH BOULEVARD, MONTGOMERY, AL",32.326946,-86.2710335
"1725 PINE STREET, MONTGOMERY, AL",32.3665616,-86.2857206
"4800 48TH ST, VALLEY, AL",32.8237735,-85.1701877
"987 DRAYTON STREET, ELBA, AL",31.4292557,-86.0763711
"2000 PEPPERELL PARKWAY, OPELIKA, AL",32.6380635,-85.4041257
"209 NORTH MAIN STREET, WEDOWEE, AL",33.3166331,-85.4874423
"619 SOUTH 19TH STREET, BIRMINGHAM, AL",33.5061895,-86.8020967
"805 FRIENDSHIP ROAD, TALLASSEE, AL",32.534053,-85.912363
"1912 ALABAMA HIGHWAY 157, CULLMAN, AL",34.207676,-86.8748921
"849 SOUTH THREE NOTCH STREET, ANDALUSIA, AL",31.2941534,-86.5006069
"301 EAST 18TH ST, ANNISTON, AL",33.6676544,-85.825067
"101 SIVLEY RD, HUNTSVILLE, AL",34.7212822,-86.5814785
"1007 GOODYEAR AVENUE, GADSDEN, AL",34.009408,-85.97078
"1010 LAY DAM ROAD, CLANTON, AL",32.8524747,-86.6229942
"1256 MILITARY STREET SOUTH, HAMILTON, AL",34.126815,-87.990457
"1653 TEMPLE AVENUE NORTH, FAYETTE, AL",33.7075713,-87.8238314
"600 SOUTH THIRD STREET, GADSDEN, AL",34.0042649,-86.003393
"515 MIRANDA ST, GEORGIANA, AL",31.6437007,-86.7427434
"400 N EDWARDS STREET, ENTERPRISE, AL",31.3184658,-85.8554606
"150 GILBREATH DRIVE, ONEONTA, AL",33.9333161,-86.4949847
"509 WILSON AVENUE, EUTAW, AL",32.8422003,-87.8901098
"201 MARIARDEN ROAD, DADEVILLE, AL",32.8200178,-85.7415988
"1874 BELTLINE RD SW, DECATUR, AL",34.5759308,-87.0169172
"4370 WEST MAIN STREET, DOTHAN, AL",31.238104,-85.457115
"810 ST VINCENT'S DRIVE, BIRMINGHAM, AL",33.50819,-86.787808
"208 PIERSON AVE, CENTREVILLE, AL",32.9513565,-87.1445922
"202 HOSPITAL STREET, MOULTON, AL",34.4828965,-87.2860055
"380 WOODS COVE ROAD, SCOTTSBORO, AL",34.6617144,-86.0466465
"1200 W MAPLE AVENUE, GENEVA, AL",31.0482465,-85.8899898
"3316 HIGHWAY 280, ALEXANDER CITY, AL",32.8858756,-85.8690851
"24273 FIFTH AVENUE, FLORALA, AL",31.0020376,-86.3210207
"820 W WASHINGTON ST, EUFAULA, AL",31.8882689,-85.1555655
"83825 HIGHWAY 9    P O BOX 1270, ASHLAND, AL",33.2774475,-85.8221193
"400 EAST 10TH STREET, ANNISTON, AL",33.6563953,-85.8228352
"700 WEST MARKET STREET, ATHENS, AL",34.8035056,-86.9772613
"1613 NORTH MCKENZIE STREET, FOLEY, AL",30.426998,-87.683856
"1201 7TH STREET SE, DECATUR, AL",34.5905196,-86.9726213
"1530 U S HIGHWAY 43, WINFIELD, AL",33.9301905,-87.8248436
"2451 FILLINGIM STREET, MOBILE, AL",30.706229,-88.099086
"3400 HIGHWAY 78 EAST, JASPER, AL",33.8423129,-87.2360521
"6801 AIRPORT BOULEVARD, MOBILE, AL",30.68199,-88.1989702
"295 JACKSON HWY S, GROVE HILL, AL",38.697973,-121.319566
"809 UNIVERSITY BOULEVARD EAST, TUSCALOOSA, AL",33.205212,-87.525457
"508 GREEN STREET, GREENSBORO, AL",32.6947556,-87.5874393
"500 HOSPITAL DRIVE, WETUMPKA, AL",32.5512271,-86.1901711
"1301 BELLEVILLE AVENUE, BREWTON, AL",31.1291772,-87.0727943
"750 MORPHY AVENUE, FAIRHOPE, AL",30.5199738,-87.8881687
"604 STONE AVENUE, TALLADEGA, AL",33.4397947,-86.0921538
"317 MCWILLIAMS AVENUE, CAMDEN, AL",31.998628,-87.2995342
"701 PRINCETON AVENUE SOUTHWEST, BIRMINGHAM, AL",33.49854,-86.84633
"800 MONTCLAIR RD, BIRMINGHAM, AL",33.5140986,-86.7486258
"124 S MEMORIAL DR, PRATTVILLE, AL",32.464172,-86.451767
"241 ROBERT K WILSON, CARROLLTON, AL",33.2617871,-88.0950263
"102 WEST CONECUH AVENUE, UNION SPRINGS, AL",32.1461975,-85.7001309
"105 HIGHWAY 80 EAST, DEMOPOLIS, AL",32.4351557,-88.3261382
"5 MOBILE INFIRMARY CIRCLE, MOBILE, AL",30.6950036,-88.0796725
"995 9TH AVENUE SOUTHWEST, BESSEMER, AL",33.3732758,-86.9916289
"1015 MEDICAL CENTER PARKWAY, SELMA, AL",32.4301955,-87.0551507
"2016 SOUTH ALABAMA AVENUE, MONROEVILLE, AL",31.4947937,-87.3200685
"42024 HIGHWAY 195 E     POST OFFICE BOX 780, HALEYVILLE, AL",34.226488,-87.6214133
"1330 HIGHWAY 231 SOUTH, TROY, AL",31.8715601,-86.0040872
"220 HOSPITAL DRIVE, JACKSON, AL",31.5302989,-87.8931936
"1815 HAND AVENUE, BAY MINETTE, AL",30.9010708,-87.7827123
"7063 VETERANS PARKWAY, PELL CITY, AL",33.6050724,-86.2775694
"ONE HOSPITAL DR SE, HUNTSVILLE, AL",34.692792,-86.571787
"751 DERBY DRIVE, YORK, AL",32.4917403,-88.2959913
"2010 BROOKWOOD MEDICAL CENTER DRIVE, BIRMINGHAM, AL",33.4641971,-86.7740934
"3719 DAUPHIN STREET, MOBILE, AL",30.6854594,-88.1316966
"2700 HOSPITAL DRIVE, NORTHPORT, AL",33.23361,-87.571248
"1701 SOUTH PELHAM ROAD, JACKSONVILLE, AL",33.78253,-85.761704
"101 CRESTVIEW AVENUE, EVERGREEN, AL",31.4312802,-86.9414221
"400 TAYLOR ROAD, MONTGOMERY, AL",32.387975,-86.175763
"29 L V STABLER DRIVE, GREENVILLE, AL",31.8288838,-86.6454308
"5600 GIRBY RD, MOBILE, AL",30.619281,-88.171287
"201 WEST AVALON AVENUE, MUSCLE SHOALS, AL",34.7449657,-87.675458
"15155 HIGHWAY 43, RUSSELLVILLE, AL",34.512912,-87.7175539
"315 W HICKORY ST, SYLACAUGA, AL",33.165474,-86.2538019
"4401 RIVER CHASE DRIVE, PHENIX CITY, AL",32.5080845,-85.0086714
"401 MEDICAL PARK DRIVE, ATMORE, AL",31.016683,-87.476801
"BOX 196604, ANCHORAGE, AK",60.9490067,-149.1703257
"2500 SOUTH WOODWORTH LOOP, PALMER, AK",61.562971,-149.2578179
"3260 HOSPITAL DR, JUNEAU, AK",58.3299147,-134.4649981
"1650 COWLES STREET, FAIRBANKS, AK",64.8338866,-147.7394437
"2801 DEBARR ROAD, ANCHORAGE, AK",61.210819,-149.8286589
"PO BOX 287, BETHEL, AK",60.7922222,-161.7558333
"250 HOSPITAL PLACE, SOLDOTNA, AK",60.4931491,-151.0777007
"4315 DIPLOMACY DR, ANCHORAGE, AK",61.182708,-149.800093
"222 TONGASS DR, SITKA, AK",57.0522518,-135.3559715
"5102 WEST CAMPBELL AVENUE, PHOENIX, AZ",33.502772,-112.170444
"1111 EAST MCDOWELL ROAD, PHOENIX, AZ",33.465137,-112.057972
"5301 EAST GRANT ROAD, TUCSON, AZ",32.252939,-110.881353
"269 SOUTH CANDY LANE, COTTONWOOD, AZ",34.7347074,-112.0314939
"1601 WEST ST MARY'S ROAD, TUCSON, AZ",32.227431,-111.000165
"350 NORTH WILMOT ROAD, TUCSON, AZ",32.22718,-110.8577189
"1003 WILLOW CREEK ROAD, PRESCOTT, AZ",34.5601708,-112.4821656
"2400 SOUTH AVENUE A, YUMA, AZ",32.683561,-114.633601
"250 EAST DUNLAP AVENUE, PHOENIX, AZ",33.5689361,-112.0710767
"1800 EAST FLORENCE BOULEVARD, CASA GRANDE, AZ",32.881225,-111.710671
"2601 EAST ROOSEVELT STREET, PHOENIX, AZ",33.45756,-112.026244
"1200 NORTH BEAVER STREET, FLAGSTAFF, AZ",35.2092331,-111.6448603
"350 WEST THOMAS ROAD, PHOENIX, AZ",33.480726,-112.079483
"2000 WEST BETHANY HOME ROAD, PHOENIX, AZ",33.525116,-112.101889
"807 SOUTH PONDEROSA DRIVE, PAYSON, AZ",34.398085,-111.45539
"475 SOUTH DOBSON ROAD, CHANDLER, AZ",33.297496,-111.874614
"1800 EAST VAN BUREN STREET, PHOENIX, AZ",33.45154,-112.0431299
"7400 EAST OSBORN ROAD, SCOTTSDALE, AZ",33.488847,-111.923872
"300 EL CAMINO REAL, SIERRA VISTA, AZ",31.5511589,-110.2724791
"3269 STOCKTON HILL ROAD, KINGMAN, AZ",35.2202396,-114.035855
"10401 WEST THUNDERBIRD BOULEVARD, SUN CITY, AZ",33.6043179,-112.2837818
"2200 SHOW LOW LAKE ROAD, SHOW LOW, AZ",34.2019522,-110.0191281
"1501 NORTH CAMPBELL AVENUE, TUCSON, AZ",32.240799,-110.946165
"1400 SOUTH  DOBSON ROAD, MESA, AZ",33.3909742,-111.876381
"1200 WEST MOHAVE ROAD, PARKER, AZ",34.1355169,-114.2847703
"1600  SOUTH 20TH AVENUE, SAFFORD, AZ",32.82248,-109.734761
"101 CIVIC CENTER LANE, LAKE HAVASU CIT, AZ",34.4798775,-114.3393782
"PO BOX 649, FORT DEFIANCE, AZ",35.7444602,-109.0764828
"PO BOX 600, TUBA CITY, AZ",36.1349928,-111.2398625
"4212 NORTH 16TH STREET, PHOENIX, AZ",33.49695,-112.049421
"3929 EAST BELL ROAD, PHOENIX, AZ",33.6405846,-111.9976645
"US HWY 191, HOSPITAL ROAD, CHINLE, AZ",36.1544483,-109.5526072
"6200 NORTH LA CHOLLA BOULEVARD, TUCSON, AZ",32.32001,-111.009787
"9003 EAST SHEA BOULEVARD, SCOTTSDALE, AZ",33.581022,-111.885281
"6644 EAST BAYWOOD AVENUE, MESA, AZ",33.411278,-111.689159
"5555 WEST THUNDERBIRD ROAD, GLENDALE, AZ",33.609487,-112.181293
"19829 NORTH 27TH AVENUE, PHOENIX, AZ",33.6659564,-112.1161771
"14502 WEST MEEKER BOULEVARD, SUN CITY WEST, AZ",33.659653,-112.372831
"18701 NORTH 67TH AVENUE, GLENDALE, AZ",33.655126,-112.202805
"4888 NORTH STONE AVENUE, TUCSON, AZ",32.2944187,-110.970938
"2735 SILVER CREEK ROAD, BULLHEAD CITY, AZ",35.1106768,-114.5550458
"5777 EAST MAYO BOULEVARD, PHOENIX, AZ",33.658621,-111.956584
"6750 EAST BAYWOOD AVENUE, MESA, AZ",33.411278,-111.6857896
"4620 EAST BASELINE ROAD, MESA, AZ",33.380057,-111.734699
"6501 NORTH 19TH AVENUE, PHOENIX, AZ",33.5321969,-112.098972
"13677 WEST MCDOWELL ROAD, GOODYEAR, AZ",33.462078,-112.352936
"2800 EAST AJO WAY, TUCSON, AZ",32.177872,-110.9295523
"2905 WEST WARNER ROAD, CHANDLER, AZ",33.3344272,-111.8912888
"200 WEST HOSPITAL DRIVE  (PO BOX 860), WHITERIVER, AZ",33.8758829,-109.9577386
"1551 EAST TANGERINE ROAD, ORO VALLEY, AZ",32.42926,-110.949664
"9201 WEST THOMAS ROAD, PHOENIX, AZ",33.478176,-112.257442
"5330 SOUTH HIGHWAY 95, FORT MOHAVE, AZ",35.0015443,-114.5979609
"7700 EAST FLORENTINE ROAD, PRESCOTT VALLEY, AZ",34.58822,-112.3309496
"3555 SOUTH VAL VISTA DRIVE, GILBERT, AZ",33.2868623,-111.7524572
"5656 SOUTH POWER ROAD, GILBERT, AZ",33.313876,-111.68959
"1301 SOUTH CRISMON ROAD, MESA, AZ",33.391283,-111.611255
"1900 NORTH HIGLEY ROAD, GILBERT, AZ",33.3826926,-111.7209955
"7400 EAST THOMPSON PEAK PARKWAY, SCOTTSDALE, AZ",33.671024,-111.921842
"515 NORTH MESA DRIVE, MESA, AZ",33.42537,-111.8225126
"3801 SANTA ROSA DRIVE, KINGMAN, AZ",35.2212877,-113.9856767
"750 NORTH 40TH STREET, PHOENIX, AZ",33.4558347,-111.9952497
"205 EAST JEFFERSON STREET, SILOAM SPRINGS, AR",36.181814,-94.540055
"1100 EAST POPLAR STREET, CLARKSVILLE, AR",35.4643637,-93.4449542
"3215 N NORTH HILLS BLVD, FAYETTEVILLE, AR",36.1093976,-94.1603583
"TWO ST VINCENT CIRCLE, LITTLE ROCK, AR",34.750314,-92.338966
"2710 RIFE MEDICAL LANE, ROGERS, AR",36.3100716,-94.184714
"HIGHWAY 10 AT DETROIT STREET, DANVILLE, AR",35.0539948,-93.3885564
"3214 EAST RACE AVENUE, SEARCY, AR",35.2504595,-91.7005644
